beta,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.0,9.971426340410303e-16,2.7194799110209916e-16,0.49999999999995587,0.500000000000042,5.484726488160959e-26,7.931816407144559e-16,5.481959510672117e-26,1.3597399555104958e-16
0.05,9.971426340410303e-16,2.7194799110209916e-16,0.49999999999995587,0.500000000000042,5.484726488160959e-26,7.931816407144559e-16,5.481959510672117e-26,1.3597399555104958e-16
0.1,9.971426340410303e-16,2.7194799110209916e-16,0.49999999999995587,0.500000000000042,5.484726488160959e-26,7.931816407144559e-16,5.481959510672117e-26,1.3597399555104958e-16
0.15,9.971426340410303e-16,2.7194799110209916e-16,0.49999999999995587,0.500000000000042,5.484726488160959e-26,7.931816407144559e-16,5.481959510672117e-26,1.3597399555104958e-16
0.2,9.971426340410303e-16,2.7194799110209916e-16,0.49999999999995587,0.500000000000042,5.484726488160959e-26,7.931816407144559e-16,5.481959510672117e-26,1.3597399555104958e-16
0.25,9.971426340410303e-16,2.7194799110209916e-16,0.49999999999995587,0.500000000000042,5.484726488160959e-26,7.931816407144559e-16,5.481959510672117e-26,1.3597399555104958e-16
0.3,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.35,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.4,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.45,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.5,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.55,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.6,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.65,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.7,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.75,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.8,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.85,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.9,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.95,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.0,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.05,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.1,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.15,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.2,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.25,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.3,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.35,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.4,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.45,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.5,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.55,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.6,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.65,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.7,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.75,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.8,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.85,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.9,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.95,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.0,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.05,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.1,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.15,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.2,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.25,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.3,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.35,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.4,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.45,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.5,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
