beta,X,Y_{cj},Y_{rj},U,W
0.0,5.1430679038484596e-17,0.5000000000000326,0.4999999999999661,3.3429941375014987e-16,1.0028982412504498e-15
0.05,5.1430679038484596e-17,0.5000000000000326,0.4999999999999661,3.3429941375014987e-16,1.0028982412504498e-15
0.1,5.1430679038484596e-17,0.5000000000000326,0.4999999999999661,3.3429941375014987e-16,1.0028982412504498e-15
0.15,5.1430679038484596e-17,0.5000000000000326,0.4999999999999661,3.3429941375014987e-16,1.0028982412504498e-15
0.2,5.1430679038484596e-17,0.5000000000000326,0.4999999999999661,3.3429941375014987e-16,1.0028982412504498e-15
0.25,5.1430679038484596e-17,0.5000000000000326,0.4999999999999661,3.3429941375014987e-16,1.0028982412504498e-15
0.3,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.35,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.4,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.45,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.5,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.55,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.6,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.65,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.7,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.75,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.8,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.85,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.9,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
0.95,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.0,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.05,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.1,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.15,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.2,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.25,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.3,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.35,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.4,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.45,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.5,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.55,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.6,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.65,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.7,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.75,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.8,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.85,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.9,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
1.95,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.0,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.05,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.1,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.15,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.2,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.25,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.3,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.35,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.4,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.45,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
2.5,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
