fines,X,Y_{cj},Y_{rj},Z,U,W
0.0,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.1,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.2,0.07182705718270532,0.2838283151475382,0.14504197773949123,0.28591352859135255,0.14156206415620676,0.07182705718270598
0.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.5,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.6,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.7,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.8,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
0.9,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.0,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.1,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.2,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.5,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.6,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.7,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.8,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1.9,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.0,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.1,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.2,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.5,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.6,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.7,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.8,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2.9,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.0,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.1,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.2,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.5,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.6,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.7,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.8,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3.9,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.0,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.1,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.2,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.3,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.4,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.5,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.6,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.7,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.8,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4.9,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
